Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID
AGT43228742,Not Renewed,31,42,POL27806251
AGT46808172,Pending,12,76,POL96934398
AGT32340750,Pending,17,5,POL93505220
AGT68647921,Not Renewed,18,80,POL39531025
AGT57092464,Pending,28,1,POL38769300
AGT47653967,Renewed,25,36,POL07841878
AGT05457971,Not Renewed,2,99,POL21963992
AGT63127637,Not Renewed,13,100,POL64589705
AGT49332725,Not Renewed,7,35,POL49133977
AGT70109277,Not Renewed,9,64,POL80278196
AGT41262935,Pending,11,80,POL89935970
AGT39802391,Not Renewed,14,41,POL40425029
AGT69637553,Renewed,43,95,POL59138324
AGT00978847,Pending,7,48,POL79312567
AGT65699402,Pending,15,62,POL05760636
AGT52126806,Pending,17,95,POL09606287
AGT43950584,Not Renewed,0,82,POL70474651
AGT26990736,Renewed,39,83,POL89907664
AGT85390293,Renewed,45,9,POL64943722
AGT13144077,Renewed,31,29,POL90960707
AGT04680213,Pending,25,47,POL59179996
AGT89254638,Pending,47,35,POL24718635
AGT32533158,Pending,48,40,POL19704549
AGT79593844,Pending,16,24,POL99720690
AGT42929675,Not Renewed,8,77,POL07613630
AGT58174916,Pending,42,46,POL68368522
AGT62130200,Pending,29,44,POL96166579
AGT02968022,Renewed,27,61,POL78863924
AGT46386081,Pending,11,10,POL66542527
AGT45322995,Pending,41,87,POL21617511
AGT60595923,Not Renewed,30,72,POL96023706
AGT31312804,Renewed,0,3,POL42325037
AGT57898434,Pending,40,46,POL40460695
AGT18996802,Pending,31,49,POL78206308
AGT88632369,Not Renewed,16,60,POL52956070
AGT70061804,Renewed,19,54,POL39046123
AGT03089985,Renewed,39,36,POL51620232
AGT46008376,Renewed,49,93,POL36575612
AGT70796644,Pending,35,24,POL48412691
AGT33496812,Renewed,46,56,POL15402724
AGT63219112,Not Renewed,24,32,POL83997445
AGT27491994,Renewed,13,100,POL20505761
AGT98172610,Pending,47,35,POL69974800
AGT34186806,Pending,2,52,POL30601696
AGT05021501,Pending,7,68,POL62179381
AGT18473213,Pending,44,38,POL77239759
AGT81391380,Not Renewed,27,75,POL44219481
AGT00296873,Not Renewed,27,25,POL75428993
AGT09870015,Renewed,23,23,POL65504828
AGT02089326,Renewed,11,3,POL96603488
AGT82511992,Pending,28,28,POL13213398
AGT24479233,Pending,27,92,POL27777205
AGT46426143,Pending,32,78,POL30200147
AGT00778173,Pending,37,55,POL32552913
AGT36991573,Not Renewed,7,3,POL35209226
AGT08478371,Not Renewed,10,53,POL51049013
AGT52042395,Pending,4,22,POL79914241
AGT88851041,Renewed,34,56,POL63077295
AGT29625804,Not Renewed,38,64,POL19274658
AGT39587181,Renewed,50,36,POL28043223
AGT57527336,Not Renewed,11,45,POL43343233
AGT87797273,Not Renewed,9,54,POL02336146
AGT58491749,Renewed,4,1,POL01239814
AGT24832912,Renewed,17,33,POL64805692
AGT23653110,Not Renewed,38,42,POL79704681
AGT41354483,Pending,46,33,POL77826609
AGT70367808,Not Renewed,3,18,POL06037561
AGT96446016,Renewed,8,1,POL50239325
AGT02017880,Pending,18,66,POL83266915
AGT64295113,Pending,46,49,POL18867984
AGT97767020,Not Renewed,8,18,POL50802042
AGT34431565,Renewed,39,63,POL76748109
AGT59958517,Not Renewed,39,68,POL48874486
AGT49653858,Not Renewed,29,42,POL91116374
AGT82729240,Renewed,9,69,POL91686015
AGT49414273,Renewed,2,39,POL13029856
AGT48089898,Renewed,4,56,POL28573734
AGT35851031,Renewed,47,20,POL90664485
AGT34601248,Renewed,41,97,POL25630495
AGT49109239,Pending,31,36,POL58909677
AGT53433359,Pending,37,54,POL21300763
AGT97761864,Renewed,18,75,POL27708077
AGT91783202,Pending,27,75,POL97831639
AGT55165473,Pending,25,35,POL66952651
AGT25853628,Renewed,45,61,POL36273981
AGT93876422,Renewed,48,83,POL34621999
AGT80165018,Pending,46,80,POL72333651
AGT00132948,Pending,8,95,POL60474745
AGT76069643,Renewed,27,32,POL48632113
AGT02449182,Not Renewed,11,59,POL95138693
AGT73119441,Not Renewed,17,91,POL55883370
AGT33556446,Renewed,30,12,POL45719981
AGT81291077,Pending,49,71,POL49483988
AGT61002687,Pending,7,53,POL01860747
AGT29482086,Pending,46,46,POL49959847
AGT49731977,Renewed,48,5,POL69437529
AGT99269595,Not Renewed,30,94,POL71731028
AGT27401713,Not Renewed,15,32,POL22702092
AGT84963028,Pending,9,77,POL21489269
AGT33631156,Pending,2,2,POL45984534
AGT60548674,Renewed,2,81,POL21893654
AGT15928890,Renewed,23,90,POL88802098
AGT42221698,Not Renewed,20,10,POL47409156
AGT99012819,Renewed,13,56,POL12333540
AGT60367390,Pending,49,39,POL97112066
AGT16692500,Renewed,4,96,POL83318258
AGT87673631,Renewed,6,31,POL98060005
AGT39341646,Pending,13,86,POL54140134
AGT15986892,Renewed,18,31,POL68523270
AGT34579920,Not Renewed,12,96,POL24523489
AGT59554873,Not Renewed,23,66,POL63559916
AGT08527717,Not Renewed,34,97,POL04817251
AGT12372743,Pending,7,19,POL16158469
AGT41927714,Renewed,27,68,POL70411495
AGT78768111,Renewed,36,44,POL04317062
AGT92749001,Renewed,3,70,POL65664761
AGT89914925,Not Renewed,0,96,POL97107834
AGT29908905,Pending,34,52,POL54636114
AGT61116641,Pending,28,66,POL46770635
AGT57708211,Renewed,50,65,POL31689204
AGT68431173,Pending,20,11,POL01562531
AGT76152251,Not Renewed,34,14,POL05208106
AGT00526785,Renewed,14,99,POL82154213
AGT34200164,Pending,32,100,POL93979639
AGT22232497,Not Renewed,8,28,POL42360341
AGT76969909,Renewed,16,11,POL06836904
AGT78175799,Renewed,3,64,POL56668614
AGT77739294,Pending,46,6,POL30563403
AGT24454901,Not Renewed,7,96,POL99360572
AGT69535902,Pending,18,20,POL34787590
AGT90019214,Pending,48,9,POL87094510
AGT87441246,Not Renewed,30,15,POL39823507
AGT00165849,Pending,4,8,POL27805496
AGT81065381,Not Renewed,47,94,POL75285626
AGT05483710,Pending,38,98,POL33045617
AGT59570266,Renewed,42,87,POL43978572
AGT94182643,Not Renewed,24,80,POL97172919
AGT57438348,Renewed,1,66,POL57660624
AGT49428557,Not Renewed,43,100,POL97141577
AGT29163029,Renewed,8,28,POL72882206
AGT71347223,Renewed,37,20,POL18209726
AGT73300909,Pending,1,99,POL13830672
AGT92567481,Not Renewed,31,14,POL47058325
AGT85062179,Renewed,35,88,POL81166647
AGT83157774,Not Renewed,16,95,POL38243316
AGT06205845,Not Renewed,43,2,POL54451854
AGT47134054,Pending,42,27,POL82263236
AGT16339543,Renewed,17,99,POL90131284
AGT56192595,Not Renewed,8,76,POL26293582
AGT59569820,Not Renewed,0,78,POL78678051
AGT03066612,Not Renewed,40,11,POL47598430
AGT34664827,Renewed,49,16,POL81442858
AGT54315529,Not Renewed,20,66,POL55191578
AGT66235603,Not Renewed,46,25,POL27120331
AGT35207521,Not Renewed,31,20,POL07162543
AGT70373802,Renewed,32,83,POL95376981
AGT98646739,Pending,13,40,POL52820408
AGT92454216,Pending,24,64,POL19547939
AGT00952090,Renewed,27,90,POL68111520
AGT19951838,Renewed,28,81,POL36499322
AGT03921996,Not Renewed,10,30,POL32150481
AGT39617618,Renewed,20,93,POL88380542
AGT61433055,Renewed,43,57,POL80647168
AGT11706758,Renewed,3,59,POL38987416
AGT32700673,Renewed,4,14,POL00083014
AGT05655177,Renewed,10,79,POL31461864
AGT68490761,Not Renewed,46,81,POL54483538
AGT73659480,Pending,37,6,POL81378407
AGT67056573,Renewed,27,68,POL61308425
AGT54103993,Not Renewed,34,92,POL38013131
AGT40123775,Pending,43,13,POL05346323
AGT25548856,Pending,27,80,POL64258389
AGT19506228,Renewed,36,95,POL17357252
AGT37188655,Renewed,31,41,POL34904099
AGT80456582,Not Renewed,4,33,POL72738203
AGT77886874,Not Renewed,33,43,POL70954405
AGT69372806,Pending,6,60,POL51543894
AGT88057806,Pending,22,45,POL80620404
AGT36368961,Renewed,1,50,POL91781501
AGT70129314,Pending,27,28,POL32483993
AGT08769669,Renewed,33,3,POL24708378
AGT98467458,Renewed,47,63,POL16494384
AGT38346405,Pending,32,11,POL16772067
AGT62720645,Not Renewed,29,23,POL43083313
AGT30393232,Not Renewed,38,68,POL49745850
AGT16991604,Not Renewed,40,16,POL32270366
AGT55450180,Renewed,37,96,POL76043297
AGT39447688,Pending,35,51,POL60143824
AGT58293183,Pending,50,25,POL97550763
AGT30444682,Pending,48,95,POL97742612
AGT41104484,Not Renewed,8,41,POL64302284
AGT51259974,Renewed,18,97,POL56785706
AGT54327832,Not Renewed,39,70,POL80161505
AGT94057606,Renewed,29,80,POL49730272
AGT24399946,Pending,40,76,POL48692889
AGT68887927,Pending,6,79,POL59708414
AGT33620326,Renewed,42,89,POL12912083
AGT62038930,Pending,26,54,POL77831101
AGT37764192,Not Renewed,0,28,POL13181341
AGT89530394,Renewed,19,19,POL28786930
AGT10655262,Not Renewed,23,24,POL84549394
AGT03964867,Not Renewed,15,4,POL10704502
AGT78153598,Not Renewed,45,7,POL38732884
AGT74419819,Not Renewed,1,38,POL75720719
AGT89058798,Pending,3,53,POL26162057
AGT76426387,Not Renewed,18,69,POL75089142
AGT37470653,Renewed,31,53,POL66183736
AGT03923721,Renewed,11,90,POL62525398
AGT23026130,Renewed,17,24,POL28794187
AGT72605043,Pending,24,20,POL92222297
AGT33107700,Renewed,12,27,POL01033936
AGT51939932,Not Renewed,26,96,POL76374292
AGT48803449,Pending,3,22,POL87664346
AGT87999065,Pending,38,73,POL62189642
AGT31392882,Not Renewed,2,65,POL60737583
AGT48143419,Not Renewed,13,86,POL95387029
AGT71162128,Renewed,9,84,POL32733098
AGT74659233,Pending,37,98,POL77019254
AGT32833809,Not Renewed,24,96,POL02597557
AGT56751869,Not Renewed,24,15,POL45321254
AGT60698406,Not Renewed,32,47,POL24753734
AGT76505336,Pending,15,32,POL21924883
AGT20564507,Not Renewed,10,24,POL45105855
AGT42683231,Renewed,36,41,POL53613913
AGT84540516,Not Renewed,6,76,POL22302710
AGT47050590,Not Renewed,8,59,POL37452247
AGT38010001,Renewed,39,37,POL67279435
AGT20677978,Renewed,14,76,POL61218156
AGT73968051,Not Renewed,3,72,POL38619975
AGT95367675,Renewed,0,82,POL88503599
AGT69494978,Not Renewed,33,11,POL69041241
