Payment ID,Date of Payment,Amount Paid,Payment Method,Payment Status,Policy ID
PAY00503494,2024-02-16,1121.13,Cash,Successful,POL09901587
PAY78887551,2023-01-19,1420.69,Bank Transfer,Successful,POL73324138
PAY14700139,2023-07-31,490.76,Cash,Successful,POL71278302
PAY00915248,2022-04-07,1150.59,Cash,Failed,POL24753734
PAY94123626,2022-08-05,1490.26,Cash,Failed,POL18290935
PAY53415430,2024-09-05,1318.96,Credit Card,Failed,POL98372511
PAY84843365,2023-09-18,158.43,Cash,Failed,POL20843719
PAY97836039,2023-09-27,994.21,Credit Card,Failed,POL03845436
PAY65075228,2023-02-08,233.3,Bank Transfer,Successful,POL70775475
PAY17334868,2024-06-14,176.91,Bank Transfer,Failed,POL23603808
PAY39650460,2022-12-08,513.88,Cash,Failed,POL52535973
PAY81033711,2024-09-10,380.15,Credit Card,Failed,POL52256054
PAY23131064,2024-08-26,885.34,Credit Card,Failed,POL10285665
PAY61404327,2022-09-11,476.34,Bank Transfer,Failed,POL04601577
PAY70078321,2022-02-22,1296.45,Cash,Failed,POL93399992
PAY46848057,2022-05-17,129.52,Bank Transfer,Failed,POL30420925
PAY71647365,2024-02-05,663.46,Credit Card,Successful,POL65725229
PAY44865582,2024-01-25,452.98,Cash,Successful,POL06989593
PAY38998359,2024-04-11,777.54,Credit Card,Successful,POL39585916
PAY72241449,2022-02-05,102.79,Credit Card,Failed,POL79940322
PAY87905940,2024-11-19,1423.5,Cash,Successful,POL99941160
PAY04724076,2022-05-30,418.47,Bank Transfer,Failed,POL56060343
PAY12613104,2022-03-05,1154.16,Credit Card,Failed,POL93664406
PAY77543077,2024-12-16,1276.35,Bank Transfer,Successful,POL03123237
PAY47346394,2024-07-06,908.13,Bank Transfer,Failed,POL93775978
PAY55889575,2022-03-19,1099.68,Credit Card,Failed,POL23778009
PAY23205278,2023-01-01,728.14,Bank Transfer,Failed,POL21956809
PAY95814567,2023-04-02,1263.27,Cash,Successful,POL67043142
PAY50561125,2022-12-15,1165.26,Bank Transfer,Failed,POL81192447
PAY69438502,2022-03-14,1234.66,Bank Transfer,Successful,POL98385553
PAY29494840,2024-05-01,742.54,Bank Transfer,Failed,POL45444901
PAY35834324,2024-04-01,228.02,Bank Transfer,Failed,POL06119117
PAY31440664,2023-03-30,265.76,Bank Transfer,Successful,POL70483793
