Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,,
POL27806251,Property,436672,1273.79,2018-12-27,2024-08-21,Monthly,Lapsed,CUST55344519,,
POL96934398,Auto,102437,1556.75,2021-09-03,2024-08-02,Monthly,Terminated,CUST71194311,,
POL93505220,Auto,88101,886.53,2018-01-30,2026-01-03,Monthly,Lapsed,CUST58699451,,
POL39531025,Property,459915,197.75,2022-04-03,2032-02-15,Quarterly,Terminated,CUST72186583,,
POL38769300,Health,22098,868.51,2021-10-02,2027-09-18,Quarterly,Active,CUST04808502,,
POL07841878,Health,347514,1931.83,2020-09-17,2026-08-28,Monthly,Active,CUST47527169,,
POL21963992,Property,288036,247.04,2018-03-27,2019-08-04,Monthly,Active,CUST57892719,,
POL64589705,Health,394231,152.13,2024-06-14,2025-12-04,Quarterly,Terminated,CUST97231935,,
POL49133977,Property,148162,1383.65,2015-04-06,2019-09-23,Quarterly,Terminated,CUST67080051,,
POL80278196,Life,376522,1546.14,2020-11-01,2027-06-22,Quarterly,Lapsed,CUST45705025,,
POL89935970,Property,499740,1488.73,2021-02-19,2027-12-09,Quarterly,Active,CUST47003736,,
POL40425029,Life,413248,279.96,2021-08-07,2024-06-20,Monthly,Active,CUST15756529,,
POL59138324,Health,274869,288.84,2020-07-18,2027-05-07,Annually,Lapsed,CUST24464034,,
POL79312567,Auto,17245,186.85,2024-09-11,2034-04-28,Annually,Active,CUST18926459,,
POL05760636,Life,86153,1863.95,2024-10-02,2027-10-12,Annually,Active,CUST92370305,,
POL09606287,Life,430745,722.68,2024-01-04,2025-11-29,Monthly,Terminated,CUST93527354,,
POL70474651,Health,327028,962.68,2023-11-05,2030-05-19,Monthly,Lapsed,CUST54507478,,
POL89907664,Life,74169,492.23,2022-03-04,2029-01-09,Monthly,Terminated,CUST00235004,,
POL64943722,Health,221353,824.14,2023-12-23,2030-04-27,Annually,Terminated,CUST54318231,,
POL90960707,Health,276513,890.01,2022-11-18,2025-09-13,Annually,Active,CUST65008360,,
POL59179996,Property,209276,315.72,2018-02-04,2025-04-09,Monthly,Active,CUST18337391,,
POL24718635,Property,284606,730.56,2022-07-27,2027-12-13,Annually,Active,CUST94024764,,
POL19704549,Property,107142,872.55,2018-08-10,2025-06-03,Quarterly,Lapsed,CUST37162794,,
POL99720690,Life,43579,981.71,2015-04-18,2023-07-17,Monthly,Active,CUST80574300,,
POL07613630,Health,103548,1927.96,2019-02-03,2026-07-26,Monthly,Active,CUST53450793,,
POL68368522,Health,467228,1359.2,2019-11-17,2025-09-04,Annually,Lapsed,CUST00957425,,
POL96166579,Life,132969,1666.16,2017-04-04,2024-10-31,Monthly,Terminated,CUST78371218,,
POL78863924,Health,192018,1528.72,2020-09-23,2023-11-29,Monthly,Lapsed,CUST36691624,,
POL66542527,Life,209098,1670.55,2019-05-23,2024-04-30,Quarterly,Active,CUST09670639,,
POL21617511,Health,302289,748.41,2020-04-29,2028-05-19,Quarterly,Terminated,CUST23186598,,
POL96023706,Life,312505,1031.19,2019-12-26,2028-12-25,Annually,Active,CUST47187133,,
POL42325037,Property,169535,824.98,2016-05-21,2018-05-28,Quarterly,Terminated,CUST71225485,,
POL40460695,Auto,56730,1622.87,2023-05-14,2032-06-27,Quarterly,Lapsed,CUST00428034,,
POL78206308,Property,171704,1598.68,2020-08-31,2021-09-15,Quarterly,Lapsed,CUST60187719,,
